Ticket ID,Department,Issue Type,Support Staff Experience Level,Experience Years,Urgency Level,Time to Complete Repair (hrs),Success Rate (%),Resolution Time (hrs),Ticket Status
IT-1000,Finance,Hardware Repair,Senior,8.9,High,0.66,79.17,3,Resolved
IT-1001,Engineering,Software Troubleshooting,Junior,0.3,Medium,1.72,54.12,5,Resolved
IT-1002,HR,Hardware Repair,Senior,7.9,Medium,1.54,58.2,6,Resolved
IT-1003,Sales,Hardware Repair,Senior,7.2,Medium,1.67,61.46,6,Resolved
IT-1004,Marketing,Hardware Repair,Junior,0.3,Medium,2.64,42.64,7,Escalated
IT-1005,Finance,Software Troubleshooting,Junior,1.7,High,1.58,49.66,2,Resolved
IT-1006,Sales,Asset Deployment,Junior,1.1,Low,0.5,62.11,14,Resolved
IT-1007,Sales,Software Troubleshooting,Senior,8.0,Medium,0.88,73.03,6,Resolved
IT-1008,Sales,Cybersecurity,Junior,1.9,High,3.61,37.06,1,Escalated
IT-1009,Marketing,Asset Deployment,Mid-Level,5.3,Medium,1.26,70.67,6,Escalated
IT-1010,Finance,Software Troubleshooting,Senior,10.3,Medium,0.5,81.61,7,Escalated
IT-1011,Marketing,Network Issue,Mid-Level,4.9,High,2.66,53.92,2,Escalated
IT-1012,HR,Software Troubleshooting,Mid-Level,3.7,Medium,1.2,65.83,6,Resolved
IT-1013,Finance,Hardware Repair,Mid-Level,3.9,High,2.67,47.23,1,Resolved
IT-1014,Finance,Network Issue,Mid-Level,5.8,Low,3.26,54.45,13,Resolved
IT-1015,Sales,Network Issue,Junior,1.7,Low,3.28,45.88,9,Resolved
IT-1016,Marketing,Asset Deployment,Junior,0.7,Medium,1.3,60.47,7,Escalated
IT-1017,Marketing,Hardware Repair,Senior,7.0,High,0.5,77.89,3,Resolved
IT-1018,Engineering,Asset Deployment,Mid-Level,3.5,Medium,1.3,55.54,4,Escalated
IT-1019,Sales,Software Troubleshooting,Senior,8.3,High,0.5,78.2,1,Escalated
IT-1020,Finance,Hardware Repair,Senior,9.1,Medium,1.14,72.56,5,Resolved
IT-1021,HR,Network Issue,Junior,2.0,Medium,3.85,29.08,4,Escalated
IT-1022,HR,Hardware Repair,Mid-Level,4.4,Low,2.1,59.52,11,Resolved
IT-1023,Engineering,Cybersecurity,Senior,10.5,High,1.29,77.6,2,Resolved
IT-1024,Engineering,Software Troubleshooting,Mid-Level,4.9,Medium,1.61,57.49,7,Resolved
IT-1025,Engineering,Software Troubleshooting,Senior,10.7,Medium,0.68,73.82,7,Escalated
IT-1026,Engineering,Hardware Repair,Senior,9.8,High,0.5,81.76,1,Resolved
IT-1027,HR,Asset Deployment,Senior,8.7,Low,1.28,68.64,8,Resolved
IT-1028,HR,Software Troubleshooting,Mid-Level,3.3,High,1.71,53.12,2,Resolved
IT-1029,Marketing,Network Issue,Senior,10.3,High,1.62,64.57,1,Resolved
IT-1030,Sales,Software Troubleshooting,Senior,10.7,Medium,0.5,88.36,6,Resolved
IT-1031,Engineering,Hardware Repair,Junior,0.5,Low,2.86,46.8,9,Escalated
IT-1032,Finance,Network Issue,Mid-Level,4.9,High,3.12,45.82,3,Escalated
IT-1033,Engineering,Hardware Repair,Junior,0.1,High,2.97,38.45,2,Resolved
IT-1034,Sales,Network Issue,Junior,1.9,Low,3.73,39.23,14,Escalated
IT-1035,Marketing,Cybersecurity,Senior,8.0,High,2.28,49.51,2,Escalated
IT-1036,Marketing,Software Troubleshooting,Mid-Level,4.7,Low,1.49,60.38,10,Resolved
IT-1037,HR,Software Troubleshooting,Senior,8.6,High,1.08,81.35,2,Escalated
IT-1038,Sales,Asset Deployment,Mid-Level,5.7,Medium,1.19,86.86,7,Resolved
IT-1039,Sales,Cybersecurity,Senior,7.3,Medium,1.79,74.27,4,Resolved
IT-1040,Marketing,Network Issue,Junior,0.6,High,3.63,31.47,2,Escalated
IT-1041,HR,Asset Deployment,Mid-Level,4.0,Low,0.83,73.08,13,Resolved
IT-1042,Finance,Hardware Repair,Junior,1.1,Medium,3.85,36.5,5,Escalated
IT-1043,HR,Software Troubleshooting,Senior,7.2,Medium,0.5,67.05,4,Escalated
IT-1044,Marketing,Asset Deployment,Junior,1.7,High,0.94,70.8,1,Resolved
IT-1045,Marketing,Cybersecurity,Senior,7.5,Medium,2.64,67.32,5,Resolved
IT-1046,Marketing,Asset Deployment,Mid-Level,3.7,High,1.76,53.27,2,Resolved
IT-1047,Sales,Hardware Repair,Senior,8.6,Medium,1.01,79.72,6,Resolved
IT-1048,Finance,Asset Deployment,Mid-Level,4.9,Medium,0.95,66.34,7,Resolved
IT-1049,Engineering,Hardware Repair,Mid-Level,5.1,Low,2.26,58.9,15,Resolved
IT-1050,Marketing,Software Troubleshooting,Mid-Level,4.7,Low,1.49,63.07,8,Resolved
IT-1051,Finance,Network Issue,Senior,8.0,Medium,1.43,65.54,6,Resolved
IT-1052,HR,Asset Deployment,Junior,0.1,High,1.93,46.61,2,Escalated
IT-1053,Engineering,Asset Deployment,Senior,10.5,High,0.71,78.77,1,Resolved
IT-1054,HR,Software Troubleshooting,Mid-Level,3.5,Low,1.91,61.7,14,Resolved
IT-1055,HR,Asset Deployment,Senior,11.3,Medium,0.5,85.65,4,Resolved
IT-1056,Finance,Asset Deployment,Mid-Level,5.7,Medium,1.58,63.81,6,Resolved
IT-1057,Marketing,Hardware Repair,Junior,1.9,Low,2.41,56.4,11,Resolved
IT-1058,Engineering,Network Issue,Junior,1.3,Medium,2.76,42.33,4,Escalated
IT-1059,Finance,Software Troubleshooting,Senior,10.9,Low,1.45,77.14,9,Resolved
IT-1060,Finance,Hardware Repair,Senior,7.5,High,1.62,62.15,2,Resolved
IT-1061,Marketing,Hardware Repair,Senior,9.6,Low,1.3,66.99,8,Escalated
IT-1062,HR,Software Troubleshooting,Senior,11.9,High,0.5,91.13,1,Resolved
IT-1063,Marketing,Asset Deployment,Junior,0.5,High,1.09,49.46,2,Resolved
IT-1064,Engineering,Asset Deployment,Senior,7.6,Medium,0.9,69.53,7,Resolved
IT-1065,Marketing,Software Troubleshooting,Senior,9.4,Medium,0.78,73.65,7,Escalated
IT-1066,HR,Network Issue,Mid-Level,3.1,Low,3.21,51.19,10,Resolved
IT-1067,Engineering,Cybersecurity,Senior,7.4,High,2.3,54.25,1,Resolved
IT-1068,Marketing,Hardware Repair,Junior,1.8,High,3.73,27.93,2,Resolved
IT-1069,HR,Hardware Repair,Mid-Level,3.8,Medium,1.58,56.68,4,Resolved
IT-1070,Finance,Asset Deployment,Senior,11.1,Low,0.5,86.46,9,Resolved
IT-1071,HR,Asset Deployment,Junior,1.2,High,1.45,61.24,1,Resolved
IT-1072,Finance,Hardware Repair,Senior,11.9,Medium,1.31,73.34,6,Escalated
IT-1073,Finance,Software Troubleshooting,Junior,0.9,High,1.08,56.62,2,Resolved
IT-1074,Finance,Network Issue,Junior,1.5,Medium,3.68,39.74,5,Resolved
IT-1075,Sales,Software Troubleshooting,Mid-Level,4.4,Medium,0.73,72.71,7,Resolved
IT-1076,Marketing,Software Troubleshooting,Senior,10.4,Medium,1.39,74.01,5,Resolved
IT-1077,HR,Asset Deployment,Senior,11.4,High,0.5,82.15,3,Resolved
IT-1078,Marketing,Software Troubleshooting,Mid-Level,5.4,Low,1.4,70.41,9,Resolved
IT-1079,Marketing,Software Troubleshooting,Junior,0.9,Medium,1.75,57.59,7,Resolved
IT-1080,Finance,Cybersecurity,Mid-Level,5.6,High,3.13,48.89,1,Escalated
IT-1081,Marketing,Cybersecurity,Mid-Level,4.0,High,3.01,46.91,1,Escalated
IT-1082,Finance,Hardware Repair,Junior,0.8,Medium,2.39,50.24,6,Resolved
IT-1083,Marketing,Network Issue,Junior,1.3,High,3.43,32.06,1,Escalated
IT-1084,HR,Software Troubleshooting,Junior,0.1,Medium,2.83,53.77,5,Resolved
IT-1085,Sales,Cybersecurity,Junior,1.4,Medium,4.18,31.6,7,Resolved
IT-1086,Marketing,Software Troubleshooting,Mid-Level,5.6,Low,1.34,63.4,15,Resolved
IT-1087,Marketing,Software Troubleshooting,Junior,1.2,Medium,1.53,45.74,6,Resolved
IT-1088,Marketing,Asset Deployment,Junior,1.4,High,1.6,57.99,2,Resolved
IT-1089,Finance,Asset Deployment,Junior,0.5,High,1.07,51.95,1,Resolved
IT-1090,Finance,Software Troubleshooting,Junior,1.1,Medium,1.5,50.87,6,Resolved
IT-1091,Marketing,Cybersecurity,Mid-Level,3.3,Medium,5.09,29.67,7,Escalated
IT-1092,HR,Cybersecurity,Junior,0.7,High,4.88,21.69,3,Escalated
IT-1093,HR,Cybersecurity,Junior,0.5,High,4.51,18.79,2,Resolved
IT-1094,Marketing,Network Issue,Mid-Level,5.5,Low,2.62,60.13,13,Resolved
IT-1095,Engineering,Cybersecurity,Senior,7.9,High,2.63,55.27,2,Escalated
IT-1096,Sales,Cybersecurity,Junior,0.4,High,4.49,12.25,1,Escalated
IT-1097,HR,Network Issue,Junior,1.5,Low,3.61,35.63,10,Resolved
IT-1098,Finance,Asset Deployment,Senior,8.7,Medium,0.5,83.3,4,Resolved
IT-1099,Sales,Hardware Repair,Senior,10.0,Low,0.89,79.45,12,Escalated
IT-1100,Engineering,Hardware Repair,Junior,1.9,Low,2.86,55.33,12,Resolved
IT-1101,Sales,Cybersecurity,Senior,7.8,Medium,2.6,54.9,5,Resolved
IT-1102,Sales,Software Troubleshooting,Junior,1.2,Medium,1.59,65.64,4,Resolved
IT-1103,Sales,Hardware Repair,Junior,0.9,Medium,1.89,57.58,5,Escalated
IT-1104,Finance,Asset Deployment,Junior,1.2,High,0.64,70.68,3,Resolved
IT-1105,HR,Cybersecurity,Junior,1.5,Medium,4.91,28.45,5,Escalated
IT-1106,Sales,Software Troubleshooting,Senior,10.8,Low,0.5,87.65,11,Resolved
IT-1107,Sales,Hardware Repair,Senior,10.0,Medium,2.59,61.68,5,Resolved
IT-1108,Finance,Cybersecurity,Senior,10.5,High,0.68,81.42,3,Resolved
IT-1109,Sales,Asset Deployment,Senior,8.1,Medium,0.5,75.47,4,Resolved
IT-1110,Engineering,Network Issue,Junior,1.2,Medium,3.73,38.33,7,Resolved
IT-1111,Engineering,Software Troubleshooting,Mid-Level,4.7,Medium,0.7,80.27,5,Resolved
IT-1112,Marketing,Software Troubleshooting,Senior,7.6,Medium,1.01,78.04,6,Escalated
IT-1113,Engineering,Cybersecurity,Mid-Level,3.6,High,4.04,38.15,1,Escalated
IT-1114,Finance,Hardware Repair,Mid-Level,4.4,Medium,2.54,51.74,7,Resolved
IT-1115,Sales,Asset Deployment,Junior,0.4,Low,0.5,65.9,14,Resolved
IT-1116,Finance,Asset Deployment,Junior,0.4,Low,1.5,49.74,11,Escalated
IT-1117,Sales,Network Issue,Junior,0.2,Medium,3.95,31.62,5,Escalated
IT-1118,Engineering,Hardware Repair,Junior,1.6,Medium,2.46,37.45,5,Escalated
IT-1119,Engineering,Network Issue,Junior,0.1,Medium,3.85,39.19,5,Escalated
IT-1120,Marketing,Asset Deployment,Senior,7.8,Low,0.86,73.99,10,Resolved
IT-1121,Engineering,Asset Deployment,Senior,9.0,High,1.07,79.59,3,Resolved
IT-1122,Sales,Hardware Repair,Senior,9.5,Medium,0.5,85.89,4,Resolved
IT-1123,Sales,Network Issue,Senior,7.5,Low,2.41,56.11,11,Escalated
IT-1124,Finance,Software Troubleshooting,Mid-Level,3.4,High,0.7,63.46,2,Resolved
IT-1125,Finance,Hardware Repair,Senior,7.1,Medium,1.74,58.18,4,Resolved
IT-1126,Sales,Software Troubleshooting,Mid-Level,4.0,High,1.24,68.47,1,Escalated
IT-1127,Engineering,Asset Deployment,Junior,0.7,Low,1.25,62.28,13,Resolved
IT-1128,Engineering,Software Troubleshooting,Senior,11.5,High,0.5,90.4,2,Resolved
IT-1129,Engineering,Asset Deployment,Mid-Level,4.2,Medium,1.39,57.1,5,Resolved
IT-1130,Engineering,Hardware Repair,Junior,0.5,High,3.0,32.94,1,Escalated
IT-1131,Marketing,Network Issue,Junior,1.4,Medium,3.18,35.99,7,Escalated
IT-1132,Finance,Network Issue,Junior,0.4,Medium,3.81,36.6,5,Escalated
IT-1133,Engineering,Software Troubleshooting,Senior,11.8,Low,0.5,91.2,15,Resolved
IT-1134,Marketing,Asset Deployment,Senior,9.4,Medium,0.81,78.49,5,Resolved
IT-1135,Marketing,Asset Deployment,Junior,0.3,Low,1.59,57.35,8,Escalated
IT-1136,Finance,Hardware Repair,Senior,7.5,Medium,1.59,64.93,7,Resolved
IT-1137,HR,Asset Deployment,Junior,0.2,Low,1.33,55.07,8,Escalated
IT-1138,Engineering,Asset Deployment,Senior,9.2,Low,0.67,72.63,8,Resolved
IT-1139,HR,Cybersecurity,Junior,1.4,High,4.31,28.09,3,Resolved
IT-1140,Finance,Network Issue,Mid-Level,5.0,Low,2.72,51.18,13,Escalated
IT-1141,Finance,Network Issue,Junior,0.1,Low,3.43,44.56,14,Escalated
IT-1142,HR,Hardware Repair,Mid-Level,5.2,Medium,1.93,56.05,4,Resolved
IT-1143,Sales,Cybersecurity,Senior,8.2,Medium,1.75,72.56,6,Resolved
IT-1144,HR,Software Troubleshooting,Junior,1.6,Low,2.3,44.54,13,Escalated
IT-1145,HR,Cybersecurity,Junior,0.9,Low,4.48,25.25,13,Escalated
IT-1146,HR,Network Issue,Mid-Level,5.3,Medium,2.33,43.11,4,Resolved
IT-1147,HR,Network Issue,Junior,0.7,High,4.68,20.53,1,Resolved
IT-1148,Finance,Cybersecurity,Junior,0.6,Medium,3.83,26.66,5,Escalated
IT-1149,Marketing,Software Troubleshooting,Junior,0.2,Low,2.47,47.03,12,Escalated
IT-1150,Marketing,Network Issue,Mid-Level,5.2,Low,2.54,52.51,10,Resolved
IT-1151,HR,Software Troubleshooting,Junior,0.5,High,1.67,49.47,3,Escalated
IT-1152,HR,Cybersecurity,Mid-Level,4.9,High,3.41,33.16,1,Escalated
IT-1153,Engineering,Hardware Repair,Mid-Level,5.3,Low,1.52,67.51,15,Escalated
IT-1154,Engineering,Asset Deployment,Mid-Level,3.1,High,0.5,65.27,1,Escalated
IT-1155,Sales,Network Issue,Junior,1.7,Medium,3.82,40.05,5,Resolved
IT-1156,Finance,Network Issue,Junior,0.0,Medium,3.88,31.71,7,Escalated
IT-1157,Sales,Network Issue,Junior,0.2,Medium,3.94,36.88,6,Escalated
IT-1158,Finance,Asset Deployment,Mid-Level,5.0,Medium,1.55,63.5,7,Resolved
IT-1159,Engineering,Network Issue,Mid-Level,3.5,High,2.83,39.95,1,Escalated
IT-1160,Sales,Asset Deployment,Junior,1.5,Medium,1.27,60.53,6,Resolved
IT-1161,Marketing,Asset Deployment,Junior,1.1,High,0.98,65.36,1,Escalated
IT-1162,Engineering,Hardware Repair,Senior,10.2,Medium,1.34,66.85,7,Resolved
IT-1163,Marketing,Hardware Repair,Senior,7.1,Medium,2.17,58.95,5,Resolved
IT-1164,Sales,Software Troubleshooting,Mid-Level,5.8,Medium,1.0,70.64,7,Escalated
IT-1165,Marketing,Hardware Repair,Senior,9.4,Medium,0.83,86.92,7,Resolved
IT-1166,Engineering,Asset Deployment,Mid-Level,5.5,High,1.52,60.16,3,Resolved
IT-1167,Finance,Network Issue,Senior,12.0,High,0.5,73.51,3,Resolved
IT-1168,Engineering,Cybersecurity,Mid-Level,5.5,High,2.8,52.02,3,Resolved
IT-1169,Marketing,Network Issue,Senior,9.2,Medium,1.49,73.6,6,Resolved
IT-1170,HR,Software Troubleshooting,Mid-Level,3.9,Medium,2.06,51.25,7,Resolved
IT-1171,Marketing,Software Troubleshooting,Senior,8.8,Low,0.79,83.14,8,Resolved
IT-1172,Sales,Network Issue,Mid-Level,3.5,High,3.88,20.75,1,Resolved
IT-1173,Sales,Hardware Repair,Mid-Level,5.8,Medium,2.46,57.52,6,Resolved
IT-1174,Engineering,Software Troubleshooting,Mid-Level,3.7,High,0.76,69.39,2,Resolved
IT-1175,Sales,Asset Deployment,Senior,11.0,High,0.5,73.39,2,Resolved
IT-1176,Engineering,Cybersecurity,Mid-Level,5.9,Medium,3.48,51.41,4,Escalated
IT-1177,Marketing,Software Troubleshooting,Senior,10.7,Medium,0.5,83.07,5,Resolved
IT-1178,Marketing,Software Troubleshooting,Senior,8.6,Medium,0.5,79.52,4,Resolved
IT-1179,Finance,Network Issue,Senior,8.6,High,2.17,63.23,1,Resolved
IT-1180,Sales,Network Issue,Junior,1.8,Medium,4.37,36.22,5,Escalated
IT-1181,HR,Network Issue,Junior,1.4,Low,3.34,47.72,11,Escalated
IT-1182,HR,Software Troubleshooting,Junior,1.2,High,1.79,59.8,2,Escalated
IT-1183,Finance,Software Troubleshooting,Mid-Level,4.8,Medium,1.21,76.72,6,Resolved
IT-1184,Sales,Hardware Repair,Mid-Level,3.5,Medium,2.61,55.38,5,Resolved
IT-1185,Marketing,Asset Deployment,Junior,0.7,High,1.19,73.55,3,Resolved
IT-1186,Marketing,Cybersecurity,Mid-Level,3.1,Medium,3.84,28.42,5,Escalated
IT-1187,HR,Software Troubleshooting,Senior,10.1,Medium,1.09,79.77,4,Resolved
IT-1188,Finance,Hardware Repair,Mid-Level,4.3,Low,2.09,67.26,13,Resolved
IT-1189,HR,Software Troubleshooting,Senior,12.0,Medium,0.5,78.18,7,Escalated
IT-1190,Sales,Cybersecurity,Junior,0.3,High,5.15,15.15,2,Resolved
IT-1191,Sales,Software Troubleshooting,Junior,1.7,Low,0.95,64.03,15,Resolved
IT-1192,Marketing,Software Troubleshooting,Mid-Level,5.0,Medium,1.47,60.07,6,Resolved
IT-1193,Sales,Asset Deployment,Senior,9.9,High,0.5,88.73,3,Resolved
IT-1194,Engineering,Cybersecurity,Senior,7.8,Medium,1.35,70.77,4,Resolved
IT-1195,Sales,Cybersecurity,Senior,11.7,High,0.73,74.95,3,Resolved
IT-1196,Marketing,Software Troubleshooting,Senior,9.4,Medium,0.94,78.42,5,Resolved
IT-1197,Marketing,Cybersecurity,Mid-Level,3.1,High,3.35,41.46,3,Escalated
IT-1198,HR,Network Issue,Senior,7.2,Low,2.15,64.91,14,Resolved
IT-1199,Marketing,Software Troubleshooting,Mid-Level,4.0,High,0.93,66.9,2,Resolved
IT-1200,Marketing,Hardware Repair,Senior,11.8,Medium,0.78,78.61,6,Resolved
IT-1201,Engineering,Software Troubleshooting,Mid-Level,5.0,High,1.31,64.91,2,Escalated
IT-1202,Engineering,Network Issue,Senior,9.9,High,1.91,71.43,2,Resolved
IT-1203,Finance,Software Troubleshooting,Junior,0.2,Medium,2.48,44.27,6,Resolved
IT-1204,HR,Cybersecurity,Senior,10.3,Medium,2.02,66.27,6,Escalated
IT-1205,HR,Software Troubleshooting,Junior,0.2,Medium,1.89,51.51,6,Resolved
IT-1206,Marketing,Cybersecurity,Mid-Level,4.2,High,2.82,44.46,2,Escalated
IT-1207,Sales,Cybersecurity,Mid-Level,5.0,High,2.99,56.71,2,Escalated
IT-1208,Finance,Software Troubleshooting,Mid-Level,5.7,High,1.28,59.51,3,Resolved
IT-1209,Marketing,Asset Deployment,Senior,10.7,Low,0.52,92.26,15,Resolved
IT-1210,Finance,Asset Deployment,Mid-Level,5.7,High,0.98,68.41,1,Resolved
IT-1211,Marketing,Hardware Repair,Mid-Level,3.5,Medium,2.53,62.27,6,Resolved
IT-1212,Engineering,Cybersecurity,Mid-Level,3.9,High,4.46,31.31,2,Resolved
IT-1213,Sales,Asset Deployment,Senior,10.4,Medium,0.51,75.56,5,Resolved
IT-1214,HR,Cybersecurity,Junior,1.9,High,5.07,17.02,1,Escalated
IT-1215,Engineering,Cybersecurity,Mid-Level,4.8,High,3.42,40.58,1,Resolved
IT-1216,Finance,Cybersecurity,Mid-Level,4.1,High,3.72,37.24,3,Resolved
IT-1217,Marketing,Software Troubleshooting,Mid-Level,5.5,High,2.18,51.05,2,Resolved
IT-1218,HR,Asset Deployment,Senior,7.8,High,1.04,73.63,1,Resolved
IT-1219,Finance,Cybersecurity,Senior,8.2,High,2.55,49.67,1,Escalated
IT-1220,Sales,Hardware Repair,Junior,2.0,Medium,2.81,41.37,4,Escalated
IT-1221,Marketing,Software Troubleshooting,Mid-Level,3.0,Medium,2.12,51.2,5,Resolved
IT-1222,HR,Hardware Repair,Mid-Level,3.2,High,2.07,47.49,1,Escalated
IT-1223,Marketing,Network Issue,Junior,1.7,Medium,3.29,40.96,7,Escalated
IT-1224,Marketing,Network Issue,Mid-Level,3.7,High,2.33,49.59,2,Escalated
IT-1225,Marketing,Network Issue,Mid-Level,4.3,High,3.29,32.0,1,Escalated
IT-1226,Engineering,Hardware Repair,Mid-Level,3.6,Medium,1.82,58.21,7,Escalated
IT-1227,Finance,Asset Deployment,Junior,0.9,Low,0.95,61.54,11,Escalated
IT-1228,Engineering,Software Troubleshooting,Senior,9.7,Medium,0.74,84.9,7,Escalated
IT-1229,Finance,Hardware Repair,Junior,1.2,High,2.14,48.58,1,Escalated
IT-1230,HR,Software Troubleshooting,Junior,0.8,Medium,1.28,54.94,7,Resolved
IT-1231,Sales,Software Troubleshooting,Junior,1.2,Medium,2.26,49.56,7,Escalated
IT-1232,HR,Cybersecurity,Senior,9.5,Medium,2.28,51.56,7,Escalated
IT-1233,Finance,Asset Deployment,Junior,1.6,High,1.01,66.52,1,Resolved
IT-1234,Marketing,Network Issue,Mid-Level,3.7,Low,3.06,51.36,12,Escalated
IT-1235,HR,Asset Deployment,Senior,11.6,Medium,1.57,72.13,7,Escalated
IT-1236,Finance,Software Troubleshooting,Mid-Level,5.5,Medium,0.87,72.22,6,Resolved
IT-1237,Finance,Asset Deployment,Junior,1.6,Low,1.46,54.68,11,Escalated
IT-1238,Engineering,Asset Deployment,Senior,7.0,Medium,0.82,72.31,6,Escalated
IT-1239,Marketing,Cybersecurity,Senior,9.3,Low,1.97,66.08,10,Resolved
IT-1240,HR,Hardware Repair,Senior,10.9,Medium,0.5,80.36,7,Escalated
IT-1241,HR,Hardware Repair,Senior,11.1,Medium,0.5,88.06,6,Resolved
IT-1242,Engineering,Asset Deployment,Junior,1.8,Medium,0.64,65.48,5,Escalated
IT-1243,Sales,Hardware Repair,Mid-Level,5.3,Medium,1.93,58.66,5,Resolved
IT-1244,Sales,Cybersecurity,Senior,10.4,High,1.76,62.01,2,Escalated
IT-1245,Engineering,Hardware Repair,Senior,11.0,High,0.79,82.54,3,Escalated
IT-1246,Engineering,Hardware Repair,Mid-Level,3.3,Medium,1.74,57.9,7,Resolved
